id,title,content,category_id,source_url,tags,is_active,created_by,created_at,updated_at,knowledge_type,keywords
33a1194d-3a4b-45b4-9cb0-019c5cb574d1,Content Marketing Fundamentals,"Content marketing is a strategic approach focused on creating valuable, relevant content...",d1000000-0000-0000-0000-000000000001,,"{marketing,content,strategy}",t,500b4a7f-4c4a-429e-a307-0601568c8525,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,,
4cb1e6bf-bcaa-4606-98aa-3b5ff07cf09d,LinkedIn Best Practices 2026,Top strategies for LinkedIn engagement in 2026 include authentic storytelling...,d1000000-0000-0000-0000-000000000004,,"{linkedin,social-media}",t,500b4a7f-4c4a-429e-a307-0601568c8525,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,,
e57e7ee1-6412-441b-9e3e-72630fcb955f,SEO Keyword Research Guide,Effective keyword research starts with understanding search intent...,d1000000-0000-0000-0000-000000000003,,"{seo,keywords,research}",t,500b4a7f-4c4a-429e-a307-0601568c8525,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,,
ee3f433d-3088-4d09-84e1-44c288f05e84,Email Marketing Templates,Professional email templates for client communication...,d1000000-0000-0000-0000-000000000002,,"{email,templates}",t,500b4a7f-4c4a-429e-a307-0601568c8525,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,,
ac863e7d-b5eb-4320-af46-cb0b100fd3d3,Brand Voice Guidelines,Maintaining consistent brand voice across all channels...,d1000000-0000-0000-0000-000000000002,,"{brand,voice,consistency}",t,500b4a7f-4c4a-429e-a307-0601568c8525,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,,
7bbbc4b7-ede5-4073-b73c-4b5993a118ec,Social Media Analytics,Key metrics to track for social media success...,d1000000-0000-0000-0000-000000000004,,"{analytics,social-media,metrics}",t,500b4a7f-4c4a-429e-a307-0601568c8525,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,,
a81518f8-0391-4e6d-9b2f-86258333ef33,Client Onboarding Process,Step-by-step guide for onboarding new clients...,d1000000-0000-0000-0000-000000000005,,"{client,onboarding}",t,500b4a7f-4c4a-429e-a307-0601568c8525,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,,
2a1b5a9e-6ee9-49e7-903e-5f9277553ba8,Content Calendar Planning,How to plan an effective content calendar...,d1000000-0000-0000-0000-000000000001,,"{content,calendar,planning}",t,500b4a7f-4c4a-429e-a307-0601568c8525,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,,
574a89ff-c2d5-4b24-9869-90fb90187cb9,Video Content Strategy,Creating engaging video content for multiple platforms...,d1000000-0000-0000-0000-000000000002,,"{video,content,strategy}",t,500b4a7f-4c4a-429e-a307-0601568c8525,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,,
f1b1e32f-e4a8-4339-a417-51e3e594ea0d,PPC Campaign Management,Managing pay-per-click campaigns effectively...,d1000000-0000-0000-0000-000000000001,,"{ppc,advertising,campaigns}",t,500b4a7f-4c4a-429e-a307-0601568c8525,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,,
